,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL201211C00060000,2020-11-24 16:37:33,60.0,55.05,61.95,62.5,0.0,0.0,1,62,2.560550473632812,True,REGULAR,USD
1,AAPL201211C00065000,2020-11-24 14:49:29,65.0,47.95,56.95,57.5,0.0,0.0,1,2,2.3007854980468747,True,REGULAR,USD
2,AAPL201211C00070000,2020-11-24 14:37:48,70.0,43.2,51.95,52.5,0.0,0.0,20,80,2.058598603515625,True,REGULAR,USD
3,AAPL201211C00075000,2020-12-04 14:57:31,75.0,46.87,47.05,47.35,-0.24000168,-0.50944954,4,21,1.5976582617187498,True,REGULAR,USD
4,AAPL201211C00080000,2020-12-04 18:46:09,80.0,41.94,42.1,42.35,-1.3100014,-3.028905,12,11,1.40625296875,True,REGULAR,USD
5,AAPL201211C00085000,2020-11-30 20:54:56,85.0,34.5,37.1,37.35,0.0,0.0,20,54,1.2265663671875,True,REGULAR,USD
6,AAPL201211C00090000,2020-12-04 20:22:12,90.0,32.05,32.1,32.3,-0.3199997,-0.9885687,116,109,0.9609378906249999,True,REGULAR,USD
7,AAPL201211C00095000,2020-12-04 20:15:24,95.0,27.23,27.1,27.3,-0.6700001,-2.4014342,12,60,0.804689453125,True,REGULAR,USD
8,AAPL201211C00096000,2020-12-04 17:52:30,96.0,26.08,26.1,26.35,5.7800007,28.472912,1,11,0.85937640625,True,REGULAR,USD
9,AAPL201211C00097000,2020-11-30 14:35:12,97.0,21.27,25.1,25.35,0.0,0.0,10,17,0.8261736132812498,True,REGULAR,USD
10,AAPL201211C00098000,2020-12-04 20:14:27,98.0,24.2,24.1,24.4,-0.5,-2.0242915,108,282,0.84961087890625,True,REGULAR,USD
11,AAPL201211C00099000,2020-12-04 14:48:45,99.0,23.35,23.1,23.35,-0.29999924,-1.2684957,8,38,0.76367423828125,True,REGULAR,USD
12,AAPL201211C00099500,2020-11-24 20:11:17,99.5,16.05,22.6,22.85,0.0,0.0,2,22,0.7480493945312501,True,REGULAR,USD
13,AAPL201211C00100000,2020-12-04 20:29:21,100.0,22.05,22.1,22.4,-0.77000046,-3.3742354,158,175,0.7832052929687501,True,REGULAR,USD
14,AAPL201211C00101000,2020-12-04 14:45:31,101.0,21.1,21.1,21.35,-1.0599995,-4.783391,1,4,0.70117486328125,True,REGULAR,USD
15,AAPL201211C00102000,2020-12-03 19:01:12,102.0,20.7,20.1,20.35,0.0,0.0,1,32,0.6699251757812501,True,REGULAR,USD
16,AAPL201211C00103000,2020-12-04 20:11:22,103.0,19.2,19.1,19.4,-0.69999886,-3.5175822,2,56,0.68555001953125,True,REGULAR,USD
17,AAPL201211C00104000,2020-12-02 17:35:44,104.0,19.05,18.1,18.4,0.0,0.0,1,115,0.6523472265625001,True,REGULAR,USD
18,AAPL201211C00105000,2020-12-04 20:29:53,105.0,17.05,17.1,17.35,-0.9300003,-5.1724153,148,334,0.57812921875,True,REGULAR,USD
19,AAPL201211C00106000,2020-12-03 20:56:10,106.0,16.75,16.15,16.4,0.0,0.0,11,72,0.58789474609375,True,REGULAR,USD
20,AAPL201211C00107000,2020-12-04 20:12:26,107.0,15.25,15.15,15.35,-0.6499996,-4.088048,80,405,0.51758294921875,True,REGULAR,USD
21,AAPL201211C00108000,2020-12-04 17:05:15,108.0,14.2,14.15,14.4,-0.8600006,-5.7104955,6,711,0.524418818359375,True,REGULAR,USD
22,AAPL201211C00109000,2020-12-04 19:24:59,109.0,12.92,13.15,13.4,-1.4499998,-10.090466,7,647,0.49219257812500006,True,REGULAR,USD
23,AAPL201211C00110000,2020-12-04 20:33:33,110.0,12.13,12.15,12.45,-1.2299995,-9.206583,142,1500,0.48828636718750007,True,REGULAR,USD
24,AAPL201211C00111000,2020-12-04 20:38:27,111.0,11.04,11.2,11.4,-0.7600002,-6.4406796,68,809,0.42774009765625004,True,REGULAR,USD
25,AAPL201211C00112000,2020-12-04 20:50:50,112.0,10.15,10.2,10.4,-0.96000004,-8.640864,108,532,0.39551385742187506,True,REGULAR,USD
26,AAPL201211C00113000,2020-12-04 20:46:42,113.0,9.24,9.25,9.45,-0.96000004,-9.411765,76,596,0.387701435546875,True,REGULAR,USD
27,AAPL201211C00114000,2020-12-04 20:56:11,114.0,8.3,8.3,8.5,-0.9499998,-10.270268,168,1185,0.37402969726562496,True,REGULAR,USD
28,AAPL201211C00115000,2020-12-04 20:59:26,115.0,7.45,7.35,7.55,-0.5500002,-6.8750024,7014,2913,0.35547519531249994,True,REGULAR,USD
29,AAPL201211C00116000,2020-12-04 20:58:47,116.0,6.49,6.4,6.6,-0.5600004,-7.9432683,912,2588,0.33301448242187504,True,REGULAR,USD
30,AAPL201211C00117000,2020-12-04 20:59:48,117.0,5.55,5.55,5.75,-0.7999997,-12.598421,1119,4014,0.3320379296875,True,REGULAR,USD
31,AAPL201211C00118000,2020-12-04 20:59:39,118.0,4.75,4.7,4.85,-0.75,-13.636364,1237,3595,0.3112861840820312,True,REGULAR,USD
32,AAPL201211C00119000,2020-12-04 20:58:21,119.0,3.88,3.85,4.0,-0.8199997,-17.446802,1617,3680,0.29444064941406245,True,REGULAR,USD
33,AAPL201211C00120000,2020-12-04 20:59:46,120.0,3.15,3.15,3.25,-0.79999995,-20.253164,14532,18169,0.2866282275390625,True,REGULAR,USD
34,AAPL201211C00121000,2020-12-04 20:58:32,121.0,2.49,2.52,2.58,-0.71000004,-22.187502,5806,8736,0.28125718749999995,True,REGULAR,USD
35,AAPL201211C00122000,2020-12-04 20:59:55,122.0,1.95,1.97,1.99,-0.5899999,-23.228342,32333,7290,0.2758861474609374,True,REGULAR,USD
36,AAPL201211C00123000,2020-12-04 20:59:58,123.0,1.5,1.49,1.53,-0.54999995,-26.829266,30773,13296,0.2778392529296875,False,REGULAR,USD
37,AAPL201211C00124000,2020-12-04 20:59:40,124.0,1.11,1.11,1.14,-0.53999996,-32.727272,14365,10286,0.27735097656249996,False,REGULAR,USD
38,AAPL201211C00125000,2020-12-04 20:59:59,125.0,0.83,0.83,0.85,-0.41000003,-33.064518,38429,25364,0.28125718749999995,False,REGULAR,USD
39,AAPL201211C00126000,2020-12-04 20:59:57,126.0,0.61,0.6,0.62,-0.33999997,-35.78947,7839,7320,0.28394270751953116,False,REGULAR,USD
40,AAPL201211C00127000,2020-12-04 20:59:22,127.0,0.45,0.44,0.46,-0.22000003,-32.835823,8717,6455,0.29004616210937495,False,REGULAR,USD
41,AAPL201211C00128000,2020-12-04 20:59:48,128.0,0.33,0.33,0.35,-0.21000001,-38.88889,5059,4271,0.29932341308593746,False,REGULAR,USD
42,AAPL201211C00129000,2020-12-04 20:59:16,129.0,0.26,0.27,0.28,-0.15,-36.585365,4174,4346,0.31250687499999996,False,REGULAR,USD
43,AAPL201211C00130000,2020-12-04 20:59:56,130.0,0.22,0.21,0.22,-0.09,-29.03226,14360,16046,0.3232489550781249,False,REGULAR,USD
44,AAPL201211C00131000,2020-12-04 20:59:33,131.0,0.17,0.16,0.17,-0.06999999,-29.166666,2859,2791,0.3320379296875,False,REGULAR,USD
45,AAPL201211C00132000,2020-12-04 20:59:02,132.0,0.14,0.13,0.15,-0.049999997,-26.315788,2534,3148,0.3505924316406249,False,REGULAR,USD
46,AAPL201211C00133000,2020-12-04 20:53:01,133.0,0.11,0.11,0.13,-0.040000007,-26.666672,3234,3495,0.366217275390625,False,REGULAR,USD
47,AAPL201211C00135000,2020-12-04 20:59:14,135.0,0.1,0.09,0.1,-0.019999996,-16.666664,12450,9905,0.397466962890625,False,REGULAR,USD
48,AAPL201211C00140000,2020-12-04 20:58:35,140.0,0.06,0.04,0.06,0.009999998,19.999996,762,4054,0.4726615234375,False,REGULAR,USD
49,AAPL201211C00145000,2020-12-04 20:31:23,145.0,0.03,0.02,0.03,0.0,0.0,372,1278,0.5117236328125,False,REGULAR,USD
50,AAPL201211C00150000,2020-12-04 20:23:03,150.0,0.01,0.01,0.02,-0.01,-50.0,188,1951,0.5625043750000001,False,REGULAR,USD
51,AAPL201211C00155000,2020-12-04 20:47:27,155.0,0.01,0.0,0.02,-0.01,-50.0,96,1245,0.6250037500000001,False,REGULAR,USD
52,AAPL201211C00160000,2020-12-04 20:47:30,160.0,0.01,0.0,0.02,0.0,0.0,47,2118,0.6875031250000001,False,REGULAR,USD
53,AAPL201211C00165000,2020-12-04 20:47:46,165.0,0.01,0.0,0.02,0.0,0.0,122,1494,0.7656273437500001,False,REGULAR,USD
54,AAPL201211C00170000,2020-12-03 16:33:39,170.0,0.01,0.0,0.01,0.0,0.0,1,125,0.7812521875,False,REGULAR,USD
55,AAPL201211C00175000,2020-12-04 19:41:20,175.0,0.01,0.0,0.01,0.0,0.0,8,971,0.8437515624999999,False,REGULAR,USD
